Equipo,Competición,Temporada,Partidos,%Posesion de balon,%Posesion en campo rival,Tiros,Tiros al arco,Goles,Goles esperados,Pases totales,Centros,Pases bajo presion,%Pases exitosos totales,%Pases exitosos bajo presion,%Pases exitosos sin presion,Offsides,Recuperaciones de balon,tiempo_presion,tiempo_presion_ofensiva,tiempo_presion_defensiva,bloqueos,despejes,duelos_ganados,faltas_cometidas,#se_llevan_a_un_defensa,intercepciones
AS Monaco,Champions League,2003/2004,1,57.01981788692753,24.895114656301274,7.0,0.0,0.0,0.435211358,491.0,13.0,62.0,74.34,56.45,76.92,1.0,60.0,98.78892199999999,42.151505,56.637417,21.0,19.0,11.0,11.0,14.0,5.0
FC Porto,Champions League,2003/2004,1,42.98018211307247,14.400196709530357,4.0,3.0,3.0,0.499919897,416.0,10.0,41.0,66.35,70.73,65.87,1.0,56.0,108.398925,28.486508,79.91241700000002,23.0,20.0,8.0,16.0,17.0,2.0
Ajax,Champions League,1970/1971,1,48.57337944462331,20.153315550522116,19.0,7.0,1.0,2.002712115,436.0,18.0,46.0,72.71,69.57,73.08,0.0,71.0,151.088999,65.29026300000001,85.798736,17.0,37.0,11.0,18.0,20.0,8.0
Panathinaikos,Champions League,1970/1971,1,51.426620555376694,24.23299801748738,14.0,3.0,0.0,0.7718429139999999,483.0,10.0,59.0,74.33,66.1,75.47,0.0,74.0,81.96769799999998,33.959523999999995,48.008174,19.0,31.0,8.0,17.0,26.0,1.0
Ajax,Champions League,1972/1973,1,55.90635811706178,27.842306084290758,27.0,7.0,1.0,1.9369156236,440.0,16.0,45.0,80.0,62.22,82.03,1.0,51.0,112.424255,50.121857,62.302398,11.0,29.0,7.0,37.0,23.0,6.0
Juventus,Champions League,1972/1973,1,44.093641882938236,16.506499694654792,10.0,5.0,0.0,0.71263749,360.0,13.0,29.0,70.28,58.62,71.3,1.0,51.0,83.17806600000002,20.641026999999998,62.537039,17.0,22.0,10.0,15.0,17.0,7.0
Bayern Munich,Champions League,2011/2012,1,55.57296453083934,32.00285473864393,43.0,12.0,4.0,7.2346091928,701.0,17.0,31.0,82.45,80.65,82.54,1.0,61.0,81.595095,39.918098,41.676997,11.0,14.0,10.0,16.0,37.0,4.0
Chelsea,Champions League,2011/2012,1,44.42703546916064,14.466719229471833,14.0,8.0,5.0,4.2093518415,549.0,10.0,74.0,80.33,77.03,80.84,1.0,44.0,87.065237,26.165497,60.89974,49.0,38.0,9.0,27.0,29.0,6.0
Real Madrid,Champions League,2015/2016,1,45.59479447819604,20.324291187215355,30.0,11.0,6.0,6.4438979896,634.0,18.0,69.0,83.12,79.71,83.54,0.0,52.0,151.557187,51.739405,99.817782,26.0,34.0,11.0,22.0,30.0,3.0
Atlético Madrid,Champions League,2015/2016,1,54.405205521803964,27.33902024628863,20.0,9.0,4.0,5.343036726,707.0,13.0,88.0,81.9,76.14,82.71,0.0,59.0,152.153222,54.968828,97.18439400000001,29.0,19.0,9.0,20.0,21.0,1.0
Barcelona,Copa del Rey,1982/1983,1,48.497724330816204,19.21162560626103,14.0,8.0,2.0,1.8255184167,298.0,21.0,37.0,77.85,59.46,80.46,0.0,33.0,92.262308,42.260701000000005,50.001607,10.0,14.0,9.0,31.0,15.0,3.0
Real Madrid,Copa del Rey,1982/1983,1,51.50227566918379,17.61689881776464,10.0,3.0,1.0,1.1985407940000004,342.0,5.0,27.0,84.8,70.37,86.03,0.0,39.0,74.10153299999999,23.228365,50.87316799999999,11.0,15.0,8.0,18.0,13.0,5.0
Juventus,Champions League,2016/2017,1,42.58685814172474,19.122144362395492,9.0,4.0,1.0,0.419174436,431.0,14.0,32.0,80.05,75.0,80.45,1.0,35.0,58.76683000000001,29.461928,29.304902,16.0,8.0,5.0,26.0,20.0,6.0
Real Madrid,Champions League,2016/2017,1,57.413141858275274,26.63096136417434,17.0,3.0,2.0,1.395479669,551.0,14.0,44.0,87.3,90.91,86.98,1.0,41.0,47.201906,19.863584999999997,27.338320999999993,20.0,12.0,1.0,17.0,7.0,7.0
Borussia Dortmund,Champions League,2012/2013,1,40.48609518134209,14.217418296899309,12.0,7.0,1.0,1.4142933060000002,395.0,4.0,26.0,67.85,61.54,68.29,0.0,65.0,95.03261499999999,35.577374,59.455241,29.0,16.0,10.0,13.0,6.0,1.0
Bayern Munich,Champions League,2012/2013,1,59.51390481865793,21.61586697473828,16.0,9.0,2.0,2.938768509,581.0,12.0,80.0,75.22,66.25,76.65,0.0,59.0,59.07168100000001,26.961037999999995,32.110642999999996,15.0,14.0,8.0,9.0,8.0,3.0
AC Milan,Champions League,2004/2005,1,55.24005650149072,23.935243534351546,28.0,10.0,5.0,6.2895763215,674.0,18.0,101.0,79.82,74.26,80.8,3.0,63.0,184.412225,86.65513899999999,97.757086,17.0,18.0,10.0,18.0,15.0,6.0
Liverpool,Champions League,2004/2005,1,44.75994349850927,16.072593651189127,21.0,11.0,6.0,4.930631157500001,598.0,10.0,89.0,78.76,69.66,80.35,3.0,50.0,235.350083,79.343547,156.00653600000004,23.0,35.0,19.0,30.0,32.0,3.0
Barcelona,Champions League,2008/2009,1,51.23597668594904,26.75253595534335,11.0,8.0,2.0,1.1987444355,515.0,9.0,29.0,84.27,65.52,85.39,0.0,36.0,141.501129,68.822295,72.67883400000001,14.0,26.0,4.0,8.0,7.0,7.0
Manchester United,Champions League,2008/2009,1,48.76402331405097,18.25568364311243,12.0,2.0,0.0,1.1492295620000001,478.0,8.0,68.0,81.38,75.0,82.44,0.0,39.0,105.56053700000001,32.545466999999995,73.01507000000001,7.0,27.0,9.0,14.0,6.0,4.0
Fiorentina,Champions League,1999/2000,1,32.82662374331555,13.79258337263588,14.0,6.0,2.0,0.9177297355,346.0,5.0,31.0,73.99,70.97,74.29,0.0,53.0,149.635222,32.629692,117.00553000000001,26.0,36.0,4.0,14.0,7.0,5.0
Manchester United,Champions League,1999/2000,1,67.17337625668446,34.062537780666595,12.0,2.0,0.0,0.611309599,674.0,25.0,100.0,80.71,80.0,80.84,0.0,51.0,76.55593400000001,30.332218,46.22371600000001,9.0,16.0,5.0,11.0,14.0,2.0
Juventus,Champions League,2014/2015,1,39.4913013173053,17.239637366328008,13.0,6.0,1.0,1.303535082,374.0,10.0,38.0,78.88,73.68,79.46,0.0,36.0,73.152616,23.204819999999998,49.947796,19.0,8.0,8.0,25.0,14.0,0.0
Barcelona,Champions League,2014/2015,1,60.508698682694714,35.66693371154534,16.0,8.0,3.0,2.080732621,598.0,10.0,41.0,86.12,80.49,86.54,0.0,48.0,73.49217100000001,27.259808,46.23236300000001,7.0,17.0,8.0,15.0,4.0,2.0
Ajax,Champions League,1971/1972,1,61.76368828024396,33.50437924834695,24.0,12.0,2.0,1.6225450164999997,466.0,31.0,39.0,78.11,69.23,78.92,0.0,57.0,122.554447,69.64124000000001,52.913207,17.0,23.0,16.0,28.0,12.0,5.0
Inter Milan,Champions League,1971/1972,1,38.23631171975604,13.25416754602816,10.0,0.0,0.0,0.436679478,329.0,4.0,24.0,72.34,75.0,72.13,0.0,51.0,112.095408,13.995159000000001,98.100249,14.0,41.0,12.0,21.0,19.0,6.0
Barcelona,Champions League,2010/2011,1,66.92852347308282,33.684233533074206,22.0,11.0,3.0,1.9315356259999998,819.0,6.0,106.0,89.26,85.85,89.76,1.0,45.0,136.573483,43.823016,92.75046700000001,9.0,6.0,5.0,5.0,11.0,3.0
Manchester United,Champions League,2010/2011,1,33.07147652691718,12.803599199504278,4.0,1.0,1.0,0.302758088,384.0,6.0,74.0,78.65,74.32,79.68,1.0,29.0,212.90265899999994,86.52349600000001,126.37916300000002,17.0,11.0,5.0,17.0,23.0,9.0
Barcelona,Copa del Rey,1977/1978,1,46.95324001656077,17.33793420509659,13.0,6.0,3.0,1.4074092677999999,342.0,6.0,54.0,73.1,77.78,72.22,1.0,51.0,141.501355,48.95413299999999,92.547222,22.0,22.0,12.0,29.0,18.0,8.0
Las Palmas,Copa del Rey,1977/1978,1,53.04675998343924,19.690347394116987,12.0,3.0,0.0,0.4726024732,367.0,9.0,55.0,72.21,61.82,74.04,1.0,51.0,105.82748699999999,48.074476000000004,57.753010999999994,9.0,12.0,5.0,25.0,17.0,7.0
Argentina U20,FIFA U20 World Cup,1979,1,68.00486223971485,26.9826658861296,18.0,9.0,3.0,1.6754474761,522.0,7.0,25.0,86.4,84.0,86.52,0.0,49.0,74.258764,24.943481000000002,49.315282999999994,10.0,11.0,8.0,13.0,14.0,7.0
Soviet Union U20,FIFA U20 World Cup,1979,1,31.995137760285143,12.629667557184145,11.0,4.0,1.0,0.44686036800000006,296.0,8.0,24.0,72.97,66.67,73.53,0.0,47.0,114.91771,40.65376800000001,74.263942,21.0,24.0,18.0,36.0,22.0,5.0
Brazil,FIFA World Cup,1958,2,59.23140323382797,32.3989355046462,32.5,15.0,5.0,3.9246123603,486.0,17.0,94.0,75.72,71.81,76.66,0.0,97.0,101.844624,43.26637249999999,58.57825149999999,24.5,30.5,15.0,15.5,25.5,6.5
Sweden,FIFA World Cup,1958,1,39.63319193497121,16.316774615403045,5.0,3.0,2.0,0.7742596580000001,416.0,12.0,69.0,67.79,57.97,69.74,0.0,59.0,170.97957200000002,42.895531,128.084041,33.0,54.0,13.0,15.0,36.0,5.0
France,FIFA World Cup,1958,1,41.979560349471264,16.625597882066128,12.0,6.0,2.0,1.3289096515,387.0,7.0,54.0,67.7,64.81,68.17,0.0,71.0,114.170605,21.188852,92.981753,31.0,25.0,9.0,9.0,40.0,6.0
Argentina,FIFA World Cup,1986,3,49.120457103343576,20.506543396965274,14.333333333333334,5.333333333333333,2.3333333333333335,1.5191397536666669,374.3333333333333,9.333333333333334,37.333333333333336,81.48,68.75,82.89,0.6666666666666666,41.333333333333336,59.57296899999999,20.395555000000005,39.177414,19.666666666666668,33.333333333333336,6.0,18.666666666666668,9.333333333333334,6.0
Germany,FIFA World Cup,1986,1,51.39048800767404,22.684549054206098,11.0,2.0,2.0,1.380577395,359.0,17.0,34.0,72.42,61.76,73.54,0.0,42.0,136.088978,46.884503,89.20447500000002,12.0,22.0,12.0,25.0,9.0,1.0
Belgium,FIFA World Cup,1986,1,51.573299817030595,18.34233077722066,19.0,3.0,0.0,0.9850120752,389.0,13.0,42.0,78.41,73.81,78.96,2.0,54.0,112.54720500000002,35.256924999999995,77.29028000000002,14.0,11.0,4.0,21.0,13.0,2.0
England,FIFA World Cup,1986,1,49.696259304137705,15.284136053085307,12.0,4.0,1.0,0.8854242549,341.0,10.0,28.0,73.31,64.29,74.12,0.0,39.0,76.21980799999999,37.317696,38.90211200000001,15.0,24.0,11.0,20.0,30.0,4.0
Brazil,FIFA World Cup,1970,6,53.88543050431999,24.531512141861903,24.5,9.666666666666666,3.1666666666666665,2.4445351969333333,479.6666666666667,11.0,42.333333333333336,86.52,82.28,86.93,0.3333333333333333,46.333333333333336,90.6807855,30.238699166666663,60.44208633333333,15.5,20.333333333333332,6.166666666666667,17.666666666666668,13.0,4.166666666666667
Peru,FIFA World Cup,1970,1,44.48340010013579,21.098994447673498,19.0,8.0,2.0,0.9219819954,462.0,3.0,14.0,85.93,50.0,87.05,0.0,49.0,78.92207300000001,28.936594999999997,49.98547799999999,22.0,11.0,7.0,15.0,18.0,6.0
Romania,FIFA World Cup,1970,1,48.52045521252597,22.524044441028728,18.0,4.0,2.0,1.1669383839999998,373.0,9.0,40.0,82.31,75.0,83.18,0.0,56.0,163.116119,56.39015500000001,106.725964,12.0,7.0,12.0,24.0,33.0,9.0
Italy,FIFA World Cup,1970,1,39.13769187491505,15.131004292939872,26.0,8.0,1.0,1.6352145005,305.0,6.0,29.0,79.67,72.41,80.43,0.0,32.0,82.76441899999999,17.486342999999998,65.278076,15.0,21.0,5.0,23.0,13.0,5.0
Uruguay,FIFA World Cup,1970,1,43.727557514007664,17.409481556353054,18.0,5.0,1.0,0.8424569193,348.0,6.0,29.0,78.45,72.41,79.0,2.0,54.0,114.03485599999999,35.694266999999996,78.340589,16.0,16.0,12.0,21.0,24.0,6.0
England,FIFA World Cup,1970,1,49.54744997019387,23.163925234891707,19.0,6.0,0.0,1.5664185369999999,470.0,14.0,65.0,83.4,83.08,83.46,0.0,57.0,79.490985,23.929170000000003,55.561815,19.0,15.0,9.0,17.0,27.0,2.0
Czechoslovakia,FIFA World Cup,1970,1,50.19009398760841,24.962010081877057,31.0,6.0,1.0,2.380840203699999,427.0,9.0,50.0,84.07,72.0,85.68,0.0,49.0,112.147882,41.642058999999996,70.505823,16.0,22.0,10.0,12.0,27.0,4.0
Brazil,FIFA World Cup,1962,1,53.67556307755286,29.465943730270563,34.0,12.0,1.0,2.359789981,507.0,19.0,63.0,80.67,73.02,81.76,0.0,66.0,142.891949,61.033309,81.85864,16.0,13.0,15.0,10.0,10.0,5.0
Mexico,FIFA World Cup,1962,1,46.32443692244715,19.197055586011764,8.0,4.0,0.0,0.831939424,426.0,11.0,47.0,75.59,74.47,75.73,0.0,69.0,167.69071300000002,26.548180000000002,141.14253300000001,19.0,38.0,15.0,21.0,42.0,2.0
Netherlands,FIFA World Cup,1974,5,57.38599605426126,28.04860496848249,16.4,6.0,1.6,1.6549253457200002,495.6,19.8,51.6,81.48,71.71,82.61,0.6,54.4,117.9941726,62.23761119999999,55.756561399999995,17.6,17.0,8.6,25.8,16.0,4.0
German DR,FIFA World Cup,1974,2,40.97413952869091,11.461506972488088,10.5,3.0,0.5,0.62528815855,324.5,8.0,45.5,73.5,57.14,76.16,1.0,55.5,107.244302,41.60722500000001,65.637077,14.0,32.5,7.0,13.0,15.5,6.5
Germany,FIFA World Cup,1974,2,50.46509972963146,23.426693508953885,17.5,5.0,1.0,1.5513684084999997,417.5,15.0,31.0,80.6,62.9,82.02,0.5,46.5,95.339045,41.455329000000006,53.883716,10.0,23.5,8.5,14.0,15.5,4.0
