Equipo,Competición,Temporada,Partidos,%Posesion de balon,%Posesion en campo rival,Tiros,Tiros al arco,Goles,Goles esperados,Pases totales,Centros,Pases bajo presion,%Pases exitosos totales,%Pases exitosos bajo presion,%Pases exitosos sin presion,Offsides,Recuperaciones de balon,tiempo_presion,tiempo_presion_ofensiva,tiempo_presion_defensiva,bloqueos,despejes,duelos_ganados,faltas_cometidas,#se_llevan_a_un_defensa,intercepciones
Tottenham Hotspur,Champions League,2018/2019,1,70.39951685772299,22.318149554368006,16.0,8.0,0.0,0.9242636489999999,561.0,14.0,156.0,79.68,72.44,82.47,1.0,52.0,69.228794,31.576795999999995,37.651998,16.0,28.0,4.0,5.0,3.0,2.0
Liverpool,Champions League,2018/2019,1,29.600483142277007,11.427308487413235,13.0,3.0,2.0,1.1960700051000002,321.0,4.0,46.0,62.93,60.87,63.27,1.0,32.0,275.897058,145.970459,129.92659899999998,9.0,23.0,5.0,10.0,7.0,5.0
Real Valladolid,La Liga,2012/2013,1,33.77210119055511,14.008073090159916,3.0,2.0,1.0,0.8697155475,418.0,11.0,41.0,76.08,68.29,76.92,0.0,53.0,132.260973,55.631109,76.629864,18.0,32.0,10.0,18.0,24.0,7.0
Barcelona,La Liga,2012/2013,32,68.88372392088144,35.624078652246055,13.15625,6.78125,2.875,1.6759622959499998,783.03125,11.53125,95.90625,88.56,83.28,89.3,0.25,51.625,149.85828275,68.4321233125,81.42615943750002,14.71875,18.28125,7.375,11.84375,10.15625,4.65625
Valencia,La Liga,2012/2013,2,33.04322942735359,14.352680667243199,12.0,3.0,0.5,0.73711243125,394.0,8.5,81.5,77.41,72.39,78.72,0.0,45.0,283.313581,127.40668649999999,155.9068945,17.5,21.0,9.5,22.0,22.5,4.0
Mallorca,La Liga,2012/2013,1,23.099414392064116,8.683074466268225,6.0,3.0,2.0,1.607971434,289.0,8.0,59.0,66.09,67.8,65.65,0.0,43.0,234.41463499999998,55.015707,179.39892799999998,17.0,35.0,6.0,27.0,11.0,6.0
Real Madrid,La Liga,2012/2013,2,30.74085170240329,14.408727944502598,11.5,5.5,2.0,1.1209318250000002,308.5,9.0,60.5,74.07,71.9,74.6,0.0,36.0,205.8260685,80.39385899999999,125.4322095,15.0,17.5,5.0,27.5,18.0,8.0
RC Deportivo La Coruña,La Liga,2012/2013,2,30.1209306501497,13.923327015494774,8.0,3.5,1.5,0.7357215209999999,376.0,9.5,42.0,78.19,80.95,77.84,0.5,41.5,219.952521,75.5573505,144.3951705,8.0,17.0,8.5,16.0,19.0,5.5
Levante UD,La Liga,2012/2013,1,19.120899965578744,7.45557556709178,13.0,4.0,0.0,2.590621951,238.0,9.0,33.0,63.45,63.64,63.41,2.0,56.0,195.97641600000003,55.77905199999999,140.197364,19.0,17.0,9.0,8.0,20.0,7.0
Celta Vigo,La Liga,2012/2013,2,28.355192145713065,12.05428943520802,9.0,3.5,1.5,1.1857948421000002,347.5,7.0,46.0,74.68,75.0,74.63,0.5,42.5,152.2121345,44.097698999999984,108.1144355,18.5,24.0,7.0,17.5,16.0,4.5
Rayo Vallecano,La Liga,2012/2013,2,45.07319285418733,18.634104079915012,16.5,5.5,0.5,0.9399046356499999,456.0,6.5,61.0,77.52,77.05,77.59,0.0,49.5,237.3801015,122.2656585,115.114443,19.5,28.0,6.5,24.0,21.0,9.0
Real Sociedad,La Liga,2012/2013,2,29.10040694850605,12.258379097987886,9.5,3.0,1.5,0.7700689118499998,329.0,10.0,43.5,74.62,77.01,74.26,0.0,41.5,146.26876700000003,58.671702499999995,87.5970645,13.0,23.0,6.0,15.0,17.5,3.0
Atlético Madrid,La Liga,2012/2013,2,32.13620583581079,16.246100824496345,10.0,2.0,1.0,0.8782433655,392.0,8.0,67.0,80.1,74.63,81.23,0.5,50.0,162.1840655,37.104794,125.0792715,20.5,22.0,10.0,22.0,17.0,4.0
Sevilla,La Liga,2012/2013,2,31.243553871983394,11.033181533118606,7.0,3.0,1.5,0.61419281065,350.0,9.5,59.5,76.14,73.11,76.76,0.5,48.0,233.9025165,51.2690145,182.63350200000002,25.5,26.5,9.0,17.5,25.0,9.0
Real Betis,La Liga,2012/2013,2,28.84726450252235,13.257125287482845,7.5,3.5,1.5,0.7189045409999998,365.0,6.5,72.5,74.38,76.55,73.85,0.0,45.5,198.305491,83.084317,115.22117399999999,14.5,21.0,8.5,16.5,12.5,5.0
Málaga,La Liga,2012/2013,1,35.90102943910363,17.934122645126816,7.0,2.0,1.0,0.33057274000000003,475.0,4.0,68.0,82.95,85.29,82.56,1.0,38.0,206.414512,72.53647900000001,133.878033,23.0,20.0,9.0,20.0,24.0,5.0
Athletic Club,La Liga,2012/2013,2,42.28613105768644,15.251205339755112,6.5,3.5,1.5,0.9931857020000001,509.5,4.5,80.0,76.35,70.0,77.53,0.0,58.5,255.3960275,89.73320550000001,165.662822,14.5,14.5,13.5,15.5,23.5,4.5
Granada,La Liga,2012/2013,2,27.650374280646787,11.138708719647987,7.0,4.5,0.5,1.106506588,286.5,8.0,47.0,69.98,63.83,71.19,0.0,52.0,235.251957,86.0645435,149.1874135,14.5,25.5,9.5,19.5,28.0,6.0
Osasuna,La Liga,2012/2013,2,26.831656095203222,9.670530589870793,9.0,3.5,1.0,0.7795555245,285.0,8.0,41.5,61.58,44.58,64.48,0.5,44.0,181.65689650000002,78.8444155,102.81248099999999,19.5,27.0,7.0,16.5,14.5,8.5
Getafe,La Liga,2012/2013,2,29.251166063453613,11.28005632184347,5.0,1.5,0.5,0.33900373999999994,334.5,8.0,44.5,72.94,62.92,74.48,0.0,34.5,291.068283,87.054997,204.013286,19.0,24.0,11.5,16.0,24.5,4.5
Espanyol,La Liga,2012/2013,1,24.43787970624191,8.520548794451079,5.0,1.0,0.0,0.796048451,283.0,1.0,36.0,69.61,50.0,72.47,0.0,36.0,118.86795,39.438300999999996,79.429649,19.0,23.0,14.0,30.0,29.0,6.0
Real Zaragoza,La Liga,2012/2013,1,33.61902699875976,14.942943977628266,12.0,1.0,0.0,0.7739885769999999,436.0,6.0,74.0,78.9,78.38,79.01,0.0,44.0,238.990836,107.671566,131.31927,10.0,18.0,15.0,19.0,17.0,5.0
Colombia,FIFA World Cup,2018,4,51.089498963771966,20.1097982638383,10.5,4.0,2.0,1.7140949016999998,492.75,12.25,74.75,77.52,70.23,78.83,0.5,52.0,148.32025,52.8935,95.42675,16.0,18.0,6.5,16.25,8.75,3.75
England,FIFA World Cup,2018,7,53.729476156019835,23.17555392688768,13.428571428571429,4.428571428571429,2.2857142857142856,2.1018308340428566,576.2857142857143,13.428571428571429,124.42857142857143,84.11,81.52,84.82,0.14285714285714285,41.0,198.67357142857142,94.73114285714284,103.94242857142856,17.571428571428573,13.857142857142858,4.0,10.714285714285714,10.0,4.0
Sweden,FIFA World Cup,2018,5,34.69508400769402,14.371851337101852,10.6,3.8,0.6,1.3710078481999999,326.6,9.6,84.6,72.26,69.5,73.22,0.6,33.0,165.25740000000002,51.6096,113.6478,22.2,28.2,4.0,16.0,10.8,4.0
Iran,FIFA World Cup,2018,3,28.329582723057705,10.344397994567837,6.666666666666667,1.3333333333333333,0.3333333333333333,0.7472049145666665,250.0,7.666666666666667,77.66666666666667,60.8,61.8,60.35,0.0,41.666666666666664,250.63633333333334,73.53766666666667,177.09866666666665,18.0,14.333333333333334,8.0,15.333333333333334,18.0,7.666666666666667
Portugal,FIFA World Cup,2018,4,53.95784338242398,28.287536371096685,13.0,3.25,1.5,1.093728729725,497.75,16.25,89.0,81.32,81.74,81.22,0.25,41.25,192.64425,68.87174999999999,123.77249999999998,18.25,13.75,7.25,13.25,12.25,4.0
Croatia,FIFA World Cup,2018,7,56.41607203231197,25.278797570187965,17.0,5.857142857142857,2.7142857142857144,2.6896005066,575.5714285714286,19.714285714285715,109.28571428571429,78.88,76.34,79.47,0.14285714285714285,43.0,175.20242857142856,77.691,97.51142857142857,16.142857142857142,22.142857142857142,6.0,17.428571428571427,11.285714285714286,4.142857142857143
Serbia,FIFA World Cup,2018,3,44.71802513681339,20.048750276159147,10.333333333333334,2.0,0.6666666666666666,0.9831425613333334,405.0,15.333333333333334,61.0,76.95,74.32,77.42,1.6666666666666667,42.666666666666664,213.78433333333336,87.65966666666668,126.12466666666666,17.333333333333332,18.333333333333332,10.0,15.666666666666666,12.666666666666666,3.6666666666666665
Brazil,FIFA World Cup,2018,5,59.33388707091874,29.615238709183917,19.6,8.2,1.6,2.3027301407400005,576.2,16.2,109.4,85.94,83.0,86.63,2.2,43.8,197.092,87.76759999999999,109.3244,20.2,13.2,6.0,11.6,13.0,7.2
Egypt,FIFA World Cup,2018,3,42.69820529614517,18.319955887076727,9.333333333333334,2.0,0.6666666666666666,0.9573605663333334,441.3333333333333,11.0,99.0,75.23,72.39,76.05,0.0,40.0,225.22,77.87833333333333,147.34166666666667,18.0,18.666666666666668,7.0,14.666666666666666,9.666666666666666,7.333333333333333
South Korea,FIFA World Cup,2018,3,36.7432256647382,16.253869305634353,11.333333333333334,3.3333333333333335,1.0,1.0018082716666665,328.3333333333333,9.0,68.33333333333333,76.35,79.51,75.51,0.0,36.333333333333336,274.9016666666667,79.46466666666667,195.437,21.0,21.333333333333332,7.666666666666667,21.333333333333332,12.0,2.6666666666666665
Uruguay,FIFA World Cup,2018,5,46.762131034265025,20.621732635644094,11.4,4.0,1.2,1.29127237296,455.2,11.8,78.6,78.43,71.76,79.82,0.2,46.0,232.7898,86.779,146.01080000000002,17.4,13.8,8.0,15.0,13.8,7.2
Belgium,FIFA World Cup,2018,7,52.82293132268571,23.414761647832186,14.0,5.285714285714286,2.142857142857143,1.6548609775714282,534.8571428571429,12.0,106.57142857142857,85.52,78.82,87.19,0.2857142857142857,38.0,190.2272857142857,72.91499999999999,117.31228571428572,13.571428571428571,16.142857142857142,6.285714285714286,15.142857142857142,9.571428571428571,5.428571428571429
Poland,FIFA World Cup,2018,3,49.792162044530855,18.737561297946076,9.666666666666666,2.3333333333333335,0.6666666666666666,0.9594059516666668,504.3333333333333,12.0,137.33333333333334,80.77,76.21,82.47,0.3333333333333333,34.333333333333336,178.447,69.20866666666667,109.23833333333333,13.333333333333334,16.666666666666668,7.333333333333333,11.0,12.666666666666666,5.666666666666667
France,FIFA World Cup,2018,7,47.77300775244171,22.247575641305776,11.142857142857142,4.142857142857143,1.7142857142857142,1.2112277655714287,458.7142857142857,8.714285714285714,79.0,80.97,78.66,81.45,0.0,41.57142857142857,175.5145714285714,69.932,105.58257142857143,14.285714285714286,17.428571428571427,7.285714285714286,14.142857142857142,9.857142857142858,5.285714285714286
Germany,FIFA World Cup,2018,3,71.9349076969385,43.486718759566,23.333333333333332,6.666666666666667,0.6666666666666666,2.033411351733333,684.3333333333334,30.0,146.66666666666666,86.26,84.77,86.67,0.6666666666666666,42.666666666666664,129.03566666666669,55.186333333333344,73.84933333333333,15.666666666666666,7.333333333333333,5.0,10.666666666666666,10.333333333333334,2.6666666666666665
Tunisia,FIFA World Cup,2018,3,52.405376001347456,20.300442181717052,10.0,3.6666666666666665,1.6666666666666667,1.3962921155333332,488.6666666666667,10.0,104.66666666666667,82.26,84.08,81.77,0.6666666666666666,31.333333333333332,165.45266666666666,64.83566666666667,100.617,16.666666666666668,7.666666666666667,8.666666666666666,16.666666666666668,11.0,8.0
Nigeria,FIFA World Cup,2018,3,46.64788466542807,18.47418186205918,12.333333333333334,3.3333333333333335,1.0,1.1039118852333332,420.0,9.666666666666666,95.0,74.76,77.54,73.95,0.0,45.0,234.06666666666663,73.37133333333334,160.69533333333334,13.666666666666666,15.666666666666666,8.333333333333334,15.333333333333334,11.666666666666666,9.0
Australia,FIFA World Cup,2018,3,51.589152176942946,19.62007562421463,9.666666666666666,2.3333333333333335,0.6666666666666666,1.1481832686666664,514.0,14.0,111.33333333333333,82.56,79.04,83.53,0.0,40.333333333333336,173.0913333333333,55.84733333333333,117.24399999999999,19.333333333333332,15.0,5.333333333333333,12.666666666666666,11.666666666666666,6.666666666666667
Senegal,FIFA World Cup,2018,3,42.42348462518774,17.09305887567776,8.666666666666666,3.6666666666666665,1.0,1.016512262,360.6666666666667,11.0,78.33333333333333,74.4,68.51,76.03,0.6666666666666666,40.0,190.42666666666665,72.37333333333332,118.05333333333333,13.666666666666666,13.0,8.0,15.666666666666666,6.0,7.0
Panama,FIFA World Cup,2018,3,36.07130149015352,16.05473903680771,7.0,2.6666666666666665,0.3333333333333333,0.7169655407666667,349.6666666666667,7.666666666666667,88.66666666666667,79.6,78.95,79.82,0.6666666666666666,33.333333333333336,281.08366666666666,87.60066666666665,193.48300000000003,10.666666666666666,17.0,7.333333333333333,17.666666666666668,8.666666666666666,7.666666666666667
Switzerland,FIFA World Cup,2018,4,59.04814420976893,22.640942211241928,12.5,3.5,1.0,0.9035897385,552.5,16.75,116.75,83.35,81.58,83.82,0.25,39.75,246.5615,105.29775,141.26375000000002,15.25,13.5,7.5,15.0,12.75,5.25
Denmark,FIFA World Cup,2018,4,43.0198493417274,16.75322457096428,11.25,4.25,1.25,1.72224131295,446.5,9.5,88.5,77.21,74.86,77.79,0.5,38.5,205.89575000000002,73.338,132.55775,21.0,18.0,4.25,14.5,14.0,5.0
Costa Rica,FIFA World Cup,2018,3,36.01326087407444,15.605290571340074,9.0,3.6666666666666665,0.3333333333333333,0.7603320678999999,372.0,8.0,72.66666666666667,77.15,74.31,77.84,1.6666666666666667,42.333333333333336,179.36100000000002,70.19866666666667,109.16233333333332,19.666666666666668,19.0,5.0,16.666666666666668,12.0,4.333333333333333
Argentina,FIFA World Cup,2018,4,68.5171872513531,36.02666597718851,13.75,4.5,1.5,1.2638345036750003,609.5,13.75,101.75,83.43,77.4,84.64,0.0,43.5,149.1335,73.632,75.5015,13.5,8.75,7.0,15.5,12.75,3.5
Iceland,FIFA World Cup,2018,3,31.74396292414726,14.843348223011946,11.333333333333334,4.0,0.6666666666666666,1.4613887090000002,294.0,12.333333333333334,73.0,66.33,67.12,66.06,0.0,37.666666666666664,204.84166666666667,74.53866666666666,130.303,17.333333333333332,16.666666666666668,4.333333333333333,14.333333333333334,10.666666666666666,8.666666666666666
Spain,FIFA World Cup,2018,4,74.30324902453154,44.059423877152604,16.75,6.5,2.25,2.6168089895,872.75,19.75,218.5,89.77,87.87,90.41,0.25,37.75,164.35175,76.37325,87.9785,11.5,7.25,6.0,9.5,9.25,3.75
Peru,FIFA World Cup,2018,3,51.66755284046099,22.68135601499857,10.0,4.0,0.6666666666666666,0.8683580598666668,466.3333333333333,9.666666666666666,101.33333333333333,80.34,79.61,80.55,0.3333333333333333,46.666666666666664,218.61833333333334,66.70733333333332,151.911,16.333333333333332,18.0,9.0,12.666666666666666,11.333333333333334,5.0
Japan,FIFA World Cup,2018,4,51.74057769908036,21.61702647132338,9.75,4.25,1.5,1.132281898425,532.75,11.25,100.75,82.21,72.21,84.55,0.5,33.75,201.192,74.41675000000001,126.77525000000001,15.0,21.5,6.25,10.75,12.25,6.25
Morocco,FIFA World Cup,2018,3,48.361852766615534,20.431269562499228,11.333333333333334,3.6666666666666665,0.6666666666666666,1.0212486878333333,415.3333333333333,13.333333333333334,97.0,77.53,78.69,77.17,0.0,41.0,242.36333333333334,74.08233333333332,168.281,17.333333333333332,15.0,7.0,21.0,9.0,5.0
Russia,FIFA World Cup,2018,5,33.71024467251757,15.945672527285735,11.4,5.4,3.4,2.357645563,388.8,13.2,90.4,70.16,64.6,71.85,0.0,38.4,244.4442,83.4772,160.967,22.6,25.8,6.0,19.4,11.6,5.2
Mexico,FIFA World Cup,2018,4,55.20620024576807,24.020786328666905,14.5,3.0,0.75,1.1628824261750002,434.0,11.5,99.25,82.14,79.85,82.82,0.75,41.0,222.59675,71.60375,150.993,21.5,12.0,5.75,14.5,13.0,5.5
Saudi Arabia,FIFA World Cup,2018,3,61.226635100354905,30.109067532938894,11.666666666666666,3.0,0.6666666666666666,1.0227026027666668,606.0,11.0,126.33333333333333,85.04,84.7,85.13,0.3333333333333333,39.666666666666664,173.48199999999997,67.47766666666666,106.00433333333332,15.0,10.0,8.0,11.0,9.333333333333334,9.333333333333334
Serbia,FIFA World Cup,2022,3,49.92333264390874,20.356728760342115,10.0,3.6666666666666665,1.6666666666666667,1.001137195,496.3333333333333,13.666666666666666,59.333333333333336,79.65,68.54,81.16,0.3333333333333333,43.0,93.81117066666667,40.28072933333333,53.53044133333333,22.0,20.333333333333332,6.666666666666667,16.0,9.0,4.0
Argentina,FIFA World Cup,2022,7,58.315814429859834,25.827704483803995,15.0,7.857142857142857,3.2857142857142856,2.9571137518571433,653.1428571428571,11.285714285714286,73.28571428571429,86.15,75.63,87.48,0.14285714285714285,42.57142857142857,105.43470342857144,47.648729,57.78597442857142,18.0,20.142857142857142,7.0,16.285714285714285,9.142857142857142,5.571428571428571
Australia,FIFA World Cup,2022,4,35.59241760084884,11.815223926254301,6.0,2.25,0.75,0.377223355,422.5,8.75,62.0,75.21,66.53,76.7,0.0,39.0,126.5683855,55.394191250000006,71.17419424999999,27.5,23.75,7.25,15.0,11.0,5.5
Brazil,FIFA World Cup,2022,5,55.79607812557952,26.234568069028285,18.4,9.2,1.8,2.60883461424,634.6,15.4,59.0,87.49,73.9,88.88,0.6,48.6,75.0110094,39.1841276,35.8268818,17.6,13.8,7.0,13.2,6.2,3.8
Tunisia,FIFA World Cup,2022,3,44.70324819994795,17.38338928655303,10.333333333333334,2.3333333333333335,0.3333333333333333,0.7656898296666667,435.0,11.0,45.333333333333336,76.32,58.82,78.36,0.3333333333333333,54.0,104.495467,36.20982466666666,68.28564233333334,23.0,34.0,11.333333333333334,13.666666666666666,5.0,5.666666666666667
Ecuador,FIFA World Cup,2022,3,52.712657934575056,17.44502041502492,8.666666666666666,4.0,1.3333333333333333,1.0865572554666667,475.3333333333333,9.0,56.333333333333336,80.86,71.6,82.1,1.0,40.666666666666664,116.74303966666666,51.63347133333334,65.10956833333333,20.0,17.0,8.666666666666666,16.666666666666668,8.333333333333334,6.0
Netherlands,FIFA World Cup,2022,5,50.79758680399624,20.58206514283042,9.6,4.4,2.6,1.782257408,593.6,10.0,72.6,84.27,72.73,85.87,0.8,34.2,117.7391744,47.09933,70.63984439999999,20.4,22.0,7.4,19.8,7.0,6.0
Uruguay,FIFA World Cup,2022,3,46.138216275154036,18.66069768449475,10.333333333333334,4.333333333333333,0.6666666666666666,1.0606754911999998,488.6666666666667,11.666666666666666,53.0,79.33,65.41,81.03,0.0,38.333333333333336,93.73687,34.37157933333334,59.36529066666666,23.333333333333332,24.333333333333332,7.333333333333333,11.333333333333334,12.0,7.333333333333333
Morocco,FIFA World Cup,2022,7,37.8879950177267,12.28532495639615,8.857142857142858,3.0,1.2857142857142858,1.1782865301428571,404.14285714285717,7.857142857142857,44.857142857142854,81.02,68.79,82.54,0.5714285714285714,42.42857142857143,102.48472042857144,39.71793828571429,62.76678214285714,19.142857142857142,24.428571428571427,8.428571428571429,16.428571428571427,9.285714285714286,6.142857142857143
Saudi Arabia,FIFA World Cup,2022,3,44.81611118676727,20.485984447921645,9.666666666666666,3.0,1.0,1.0523128516666664,392.3333333333333,8.333333333333334,53.666666666666664,74.77,62.73,76.67,0.0,49.333333333333336,113.34942333333333,45.50637766666667,67.84304566666667,19.333333333333332,25.333333333333332,6.333333333333333,19.666666666666668,7.666666666666667,7.666666666666667
Poland,FIFA World Cup,2022,4,36.75166463148849,12.223499302059272,6.5,2.25,0.75,1.0946867482500002,378.25,8.0,43.5,78.72,68.97,79.99,0.5,35.25,88.64744024999999,32.32860275,56.3188375,19.25,27.75,6.0,13.0,11.0,6.25
France,FIFA World Cup,2022,7,51.05803562418045,23.399771154435246,14.0,5.428571428571429,2.4285714285714284,2.073975173142857,556.1428571428571,12.857142857142858,52.42857142857143,84.54,69.75,86.07,0.5714285714285714,42.285714285714285,103.97643485714285,40.427192,63.54924285714286,17.857142857142858,16.285714285714285,8.428571428571429,10.714285714285714,6.428571428571429,7.0
Portugal,FIFA World Cup,2022,5,61.945027651074824,26.71344347764019,12.4,5.6,2.4,1.40777598866,619.6,13.0,66.4,85.7,73.19,87.2,0.2,38.0,76.6553414,45.2711732,31.384168199999998,14.8,17.4,6.4,11.8,7.2,3.6
England,FIFA World Cup,2022,5,63.81149991277665,23.797347784815546,12.2,5.8,2.2,1.6900017417999997,642.2,10.8,70.2,87.2,76.64,88.5,0.0,36.0,87.44221,48.2080458,39.2341642,14.2,11.6,5.6,11.4,4.8,4.2
Croatia,FIFA World Cup,2022,7,54.886593752391946,22.371446188205443,12.0,4.714285714285714,2.0,1.833764355557143,639.1428571428571,16.0,75.85714285714286,84.85,75.14,86.15,0.14285714285714285,44.57142857142857,120.09799971428572,55.655759428571436,64.44224028571429,18.571428571428573,22.428571428571427,8.428571428571429,14.428571428571429,11.285714285714286,6.285714285714286
Japan,FIFA World Cup,2022,4,33.25722100468339,14.85099486328751,11.0,4.25,1.5,1.80367439,430.5,8.75,65.5,78.69,64.89,81.16,0.5,38.5,149.89957525,62.797676749999994,87.1018985,25.0,26.5,7.0,15.75,7.0,6.75
Spain,FIFA World Cup,2022,4,76.8924882926133,37.53627569563377,12.5,5.25,2.25,1.77184018085,973.75,13.5,93.75,90.89,84.0,91.62,0.25,44.5,85.79334549999999,52.6299095,33.16343599999999,13.75,8.75,5.25,11.0,9.0,4.75
Cameroon,FIFA World Cup,2022,3,43.91374566636419,17.10332537856203,9.0,5.333333333333333,1.3333333333333333,1.0032718567333334,418.0,11.0,69.33333333333333,77.35,69.71,78.87,0.3333333333333333,44.333333333333336,106.18839433333335,51.803373666666666,54.38502066666666,15.333333333333334,22.333333333333332,4.666666666666667,12.0,6.333333333333333,7.333333333333333
Belgium,FIFA World Cup,2022,3,54.14637793110525,18.331580756342444,11.0,3.3333333333333335,0.3333333333333333,1.1865158392666666,617.3333333333334,10.0,76.33333333333333,86.29,77.29,87.55,1.0,36.666666666666664,96.70219966666666,44.20870133333333,52.49349833333333,18.666666666666668,22.0,6.0,10.333333333333334,7.666666666666667,3.0
Germany,FIFA World Cup,2022,3,60.936744003063566,30.53164061390867,21.333333333333332,9.0,2.0,2.4732975858999997,649.6666666666666,15.333333333333334,70.66666666666667,86.35,78.77,87.28,1.0,46.666666666666664,103.16864266666666,66.55989999999998,36.608742666666664,20.0,10.333333333333334,6.666666666666667,10.333333333333334,6.333333333333333,4.0
United States,FIFA World Cup,2022,4,55.207786935695765,22.830709780537244,10.25,3.5,0.75,0.93284253765,546.5,13.75,50.0,83.35,79.0,83.79,0.25,49.75,106.75059949999999,47.6064875,59.144112,18.25,20.5,6.0,12.75,8.75,6.25
Qatar,FIFA World Cup,2022,3,43.80661069786706,14.976098057628041,6.666666666666667,2.0,0.3333333333333333,0.46933056616666663,462.0,10.0,63.0,82.25,71.43,83.96,1.0,37.666666666666664,92.89568233333331,28.707993666666663,64.18768866666666,13.333333333333334,18.666666666666668,5.333333333333333,12.0,8.333333333333334,5.0
South Korea,FIFA World Cup,2022,4,48.02152797952945,22.012208267943915,11.25,4.25,1.25,0.8610385046000001,498.75,12.75,53.75,81.95,68.37,83.6,0.5,43.75,94.88564525000001,46.1947335,48.69091175,15.75,20.25,5.75,11.75,9.25,5.5
Ghana,FIFA World Cup,2022,3,42.85013453641973,17.201897763904988,8.0,3.3333333333333335,1.6666666666666667,1.0825597795666668,411.6666666666667,8.0,46.0,79.84,68.12,81.31,0.0,45.333333333333336,103.81309900000001,33.18680866666667,70.62629033333333,23.666666666666668,31.666666666666668,7.333333333333333,17.0,4.666666666666667,2.3333333333333335
Costa Rica,FIFA World Cup,2022,3,30.948147367951652,8.884715038926311,3.3333333333333335,1.6666666666666667,0.3333333333333333,0.4068585003333333,356.0,6.0,55.333333333333336,77.72,66.27,79.82,0.6666666666666666,40.0,89.507971,19.753214,69.754757,21.0,27.0,6.0,10.333333333333334,12.0,6.333333333333333
Switzerland,FIFA World Cup,2022,4,47.64275669873961,17.898506131858326,8.75,3.0,1.0,1.51363071325,505.25,8.75,64.75,82.78,73.75,84.11,0.25,30.5,98.23073250000002,44.33755025,53.89318225,13.25,24.25,5.0,15.25,5.25,6.0
Senegal,FIFA World Cup,2022,4,45.755574519559154,20.235230594267804,11.75,2.5,1.0,1.032172648875,418.75,11.0,55.25,80.12,69.68,81.71,1.25,45.0,105.33027975000002,49.017326999999995,56.31295275,15.25,28.25,6.25,12.25,5.25,4.5
Iran,FIFA World Cup,2022,3,34.70184769081362,14.148432218438746,10.666666666666666,4.0,1.3333333333333333,1.2482463461,370.6666666666667,13.666666666666666,52.666666666666664,71.22,67.72,71.8,0.0,42.333333333333336,124.10111233333335,47.708890333333336,76.392222,19.666666666666668,16.0,8.0,17.333333333333332,10.333333333333334,7.666666666666667
Canada,FIFA World Cup,2022,3,54.72274115974185,24.238890022136847,11.666666666666666,2.0,0.3333333333333333,1.309541843,520.0,12.0,55.666666666666664,84.49,72.46,85.93,0.6666666666666666,50.0,124.704859,67.71550866666666,56.989350333333334,16.333333333333332,17.0,5.0,12.333333333333334,7.333333333333333,5.333333333333333
Wales,FIFA World Cup,2022,3,45.892581619899325,15.50365852010667,7.333333333333333,2.0,0.3333333333333333,0.7245047586666665,446.3333333333333,8.666666666666666,64.33333333333333,78.49,68.91,80.1,0.0,44.0,91.81774266666667,44.932855666666676,46.884887,23.666666666666668,26.0,3.3333333333333335,12.666666666666666,6.666666666666667,4.333333333333333
Mexico,FIFA World Cup,2022,3,53.449839719924995,21.93113678603362,13.0,4.666666666666667,0.6666666666666666,0.8861841203333333,470.0,15.333333333333334,45.0,78.58,65.19,80.0,0.3333333333333333,46.666666666666664,107.30153366666667,44.99379266666667,62.307741,15.666666666666666,19.0,8.333333333333334,17.666666666666668,7.666666666666667,6.666666666666667
Denmark,FIFA World Cup,2022,3,59.68550502421811,24.08064282047952,10.666666666666666,4.333333333333333,0.3333333333333333,0.8605054790000001,637.3333333333334,12.333333333333334,58.333333333333336,84.36,70.86,85.72,0.0,39.666666666666664,97.74345900000002,52.718997333333334,45.024461666666674,19.666666666666668,21.333333333333332,9.0,11.333333333333334,11.0,5.0
Brazil,FIFA World Cup,1990,1,62.10941175263367,29.48379643349794,16.0,4.0,0.0,1.6123702816,481.0,22.0,42.0,84.2,69.05,85.65,0.0,56.0,126.58839,59.47404600000001,67.11434399999999,6.0,8.0,9.0,25.0,21.0,7.0
Argentina,FIFA World Cup,1990,1,37.89058824736634,11.152272065309804,6.0,4.0,1.0,1.0229263789999998,310.0,0.0,56.0,76.45,71.43,77.56,0.0,53.0,115.522436,31.488855,84.033581,18.0,36.0,9.0,25.0,18.0,2.0
Barcelona,La Liga,2017/2018,36,61.8283855563205,30.472202295729222,14.722222222222221,7.555555555555555,2.388888888888889,2.0385092935555553,664.8333333333334,9.222222222222221,87.16666666666667,87.29,81.77,88.13,0.6111111111111112,43.583333333333336,126.63174688888888,64.30080688888887,62.330940000000005,15.36111111111111,13.416666666666666,6.583333333333333,11.63888888888889,8.222222222222221,7.527777777777778
RC Deportivo La Coruña,La Liga,2017/2018,2,39.81417630353491,20.15014339772274,12.5,4.0,1.0,1.2021928844999998,448.0,17.0,54.0,80.36,81.48,80.2,0.5,42.5,129.832832,64.29866849999999,65.5341635,19.5,17.0,8.0,14.5,14.0,9.5
Las Palmas,La Liga,2017/2018,2,43.33597420378846,14.649972965876168,10.5,1.5,0.5,0.8727014957499999,457.5,7.0,50.0,83.61,71.0,85.15,0.5,37.0,130.58839749999999,44.24319549999999,86.345202,21.0,14.0,8.5,17.0,20.5,5.0
Eibar,La Liga,2017/2018,2,57.725105067006375,29.33792513149814,13.0,5.0,0.5,0.8483075614999999,462.5,12.5,65.0,77.19,68.46,78.62,0.5,44.0,138.735408,84.6164225,54.1189855,13.5,7.0,8.5,14.5,12.0,14.0
